Masina,Culoare,Anul productiei,Numar locuri,Combustibil,Cutie de viteze,Tip Caroserie,Capacitate cilindrica,Putere,Transmisie,Consum Urban,Consum Extraurban,Pret
Peugeot 508,Negru,2013,5.0,Diesel,Automata,Sedan,1997.0,163.0,Fata,7.3,4.5,7250
Volkswagen Tiguan,Gri,2011,5.0,Benzina,Manuala,SUV,1984.0,200.0,4x4,11.6,6.7,6990
BMW X1,Albastru,2013,5.0,Diesel,Automata,SUV,1995.0,184.0,4x4,6.1,5.1,13499
Honda CR-V,Alb,2017,5.0,Benzina,Automata,SUV,1997.0,155.0,4x4,10.0,6.0,18900
Skoda Karoq,Gri,2021,5.0,Diesel,Automata,SUV,1968.0,150.0,4x4,5.6,4.2,21990
Renault Kadjar,Negru,2019,5.0,Diesel,Automata,SUV,1461.0,115.0,Fata,4.5,4.0,19289
Ford Focus,Gri,2019,5.0,Diesel,Manuala,Compact,1499.0,120.0,Fata,4.1,3.5,12490
Mercedes-Benz C,Alb,2023,5.0,Diesel,Automata,Sedan,1993.0,200.0,4x4,5.9,3.7,45989
Skoda Octavia,Alb,2020,5.0,Benzina,Manuala,Sedan,999.0,110.0,Fata,6.0,3.8,13200
BMW X3,Albastru,2021,5.0,Hibrid,Automata,SUV,1998.0,184.0,4x4,6.4,5.2,39700
Mercedes-Benz E,Negru,2020,5.0,Diesel,Automata,Sedan,1950.0,194.0,4x4,6.1,4.5,29950
BMW Seria 7,Maro,2016,4.0,Benzina,Automata,Sedan,4395.0,450.0,4x4,11.6,6.3,36500
Porsche Cayenne,Albastru,2019,5.0,Benzina,Automata,SUV,3996.0,550.0,4x4,14.8,8.9,63999
Audi A6,Negru,2020,5.0,Benzina,Automata,Sedan,1984.0,245.0,Fata,7.6,5.1,28983
BMW Seria 3,Albastru,2015,5.0,Diesel,Automata,Sedan,1995.0,190.0,4x4,5.5,4.3,16999
Volkswagen Passat CC,Negru,2013,5.0,Benzina,Manuala,Sedan,1984.0,210.0,Fata,10.1,5.6,8489
BMW Seria 5,Gri,2013,5.0,Diesel,Automata,Sedan,1995.0,184.0,Spate,5.2,4.1,12990
Volkswagen Tiguan,Gri,2012,5.0,Diesel,Manuala,SUV,1968.0,140.0,Fata,4.6,5.0,10990
Renault Koleos,Negru,2017,5.0,Diesel,Automata,SUV,1995.0,177.0,Fata,7.0,6.0,15950
Volkswagen Passat,Negru,2019,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,5.3,4.1,14495
Nissan Qashqai,Alb,2014,5.0,Diesel,Manuala,SUV,1598.0,130.0,Fata,5.1,4.1,10995
Skoda Octavia,Alb,2016,5.0,Diesel,Automata,Sedan,1968.0,183.0,4x4,5.6,4.5,15395
Volvo XC 60,Alb,2015,5.0,Diesel,Automata,SUV,1969.0,190.0,Fata,5.6,4.5,14999
Volkswagen Tiguan,Alte culori,2012,5.0,Diesel,Automata,SUV,1968.0,140.0,4x4,6.8,5.3,12945
Audi A8,Negru,2018,5.0,Hibrid,Automata,Sedan,2995.0,340.0,4x4,10.5,6.3,44000
Volkswagen Tiguan,Gri,2018,5.0,Diesel,Automata,SUV,1968.0,150.0,Fata,5.4,4.0,121900
Opel Zafira,Negru,2018,6.0,Diesel,Automata,Monovolum,1956.0,130.0,Fata,8.2,4.8,11950
BMW Seria 5,Gri,2017,5.0,Diesel,Automata,Sedan,1995.0,190.0,4x4,5.1,3.9,28985
Mercedes-Benz GLB,Negru,2024,5.0,Benzina,Automata,SUV,1332.0,163.0,4x4,8.3,5.7,53419
Volkswagen Tiguan,Alb,2019,5.0,Diesel,Automata,SUV,1968.0,150.0,4x4,6.8,5.3,24950
Skoda Fabia,Albastru,2011,5.0,Diesel,Manuala,Sedan,1199.0,75.0,Fata,4.1,3.0,3900
BMW X3,Alb,2012,5.0,Diesel,Automata,SUV,1995.0,184.0,4x4,6.1,5.3,13295
Audi A4,Gri,2019,5.0,Benzina,Automata,Sedan,1984.0,150.0,Fata,7.1,4.6,24990
BMW X4,Negru,2022,5.0,Diesel,Automata,SUV,1995.0,190.0,4x4,5.3,4.9,46410
Mercedes-Benz C,Argint,2016,5.0,Diesel,Automata,Sedan,2143.0,136.0,Spate,5.3,3.6,19990
Hyundai i20,Alb,2020,5.0,Benzina,Manuala,Compact,1248.0,75.0,Fata,7.0,4.8,8490
Hyundai i20,Alb,2020,5.0,Benzina,Manuala,Compact,1248.0,75.0,Fata,7.0,4.8,8490
Ford Focus,Gri,2013,5.0,Diesel,Manuala,Sedan,1560.0,115.0,Fata,5.1,3.7,5600
Renault Clio,Alb,2019,5.0,Diesel,Manuala,Compact,1461.0,90.0,Fata,4.3,3.6,8490
Mercedes-Benz GLC,Argint,2021,5.0,Hibrid,Automata,SUV,1950.0,194.0,4x4,5.9,4.9,38900
Renault Clio,Alb,2019,5.0,Diesel,Manuala,Compact,1461.0,90.0,Fata,4.3,3.6,8290
Cupra Formentor,Rosu,2023,5.0,Benzina,Automata,SUV,1984.0,190.0,4x4,8.8,5.8,32950
Opel Grandland X,Alb,2019,5.0,Diesel,Manuala,SUV,1499.0,130.0,Fata,4.7,3.8,17900
BMW Seria 1,Gri,2011,5.0,Benzina,Automata,Compact,1598.0,170.0,Spate,7.4,4.8,8490
Audi A5,Negru,2017,5.0,Benzina,Automata,Sedan,1798.0,170.0,Fata,10.2,6.4,16349
BMW M5,Gri,2020,5.0,Benzina,Automata,Sedan,4395.0,600.0,4x4,16.6,7.7,79980
Volkswagen Touareg,Albastru,2016,5.0,Diesel,Automata,SUV,2967.0,262.0,4x4,7.9,6.2,21900
BMW X5,Negru,2008,5.0,Diesel,Automata,SUV,2993.0,235.0,4x4,11.3,7.2,8600
Renault Megane,Argint,2012,5.0,Diesel,Manuala,Compact,1598.0,130.0,Fata,4.8,3.6,6200
Audi A5,Negru,2012,5.0,Diesel,Manuala,Sedan,1968.0,177.0,Fata,5.5,4.1,11999
Volvo V40,Gri,2013,5.0,Diesel,Manuala,Compact,1560.0,115.0,Fata,3.7,3.2,7299
BMW Seria 3,Alb,2012,5.0,Diesel,Automata,Sedan,1995.0,184.0,Spate,5.5,4.1,12490
Renault Kadjar,Albastru,2020,5.0,Benzina,Automata,SUV,1332.0,140.0,Fata,6.8,5.1,16990
Kia Sportage,Gri,2020,5.0,Benzina,Automata,SUV,1591.0,177.0,Fata,7.8,5.7,18299
Renault Megane,Gri,2018,5.0,Diesel,Manuala,Compact,1461.0,95.0,Fata,4.4,3.6,10490
Opel Corsa,Negru,2019,5.0,Benzina,Manuala,Compact,1398.0,90.0,Fata,6.6,4.4,7400
Audi A6,Alb,2015,5.0,Diesel,Automata,Sedan,1968.0,190.0,Fata,5.3,4.1,14999
Peugeot 3008,Gri,2020,5.0,Hibrid,Automata,SUV,1598.0,225.0,Fata,6.4,4.4,18990
Kia Sportage,Albastru,2018,5.0,Diesel,Automata,SUV,1995.0,185.0,4x4,6.1,5.2,22900
Nissan Qashqai,Negru,2020,5.0,Diesel,Automata,SUV,1749.0,149.0,4x4,6.6,4.9,18950
Volkswagen Tiguan,Gri,2016,5.0,Diesel,Automata,SUV,1968.0,190.0,4x4,6.8,5.3,22907
Jaguar F-Pace,Negru,2018,5.0,Benzina,Automata,SUV,2995.0,380.0,4x4,7.2,5.3,27999
Mercedes-Benz GLE,Albastru,2019,5.0,Diesel,Automata,SUV,2925.0,330.0,4x4,8.4,5.8,54989
BMW X6,Negru,2021,5.0,Diesel,Automata,SUV,2993.0,286.0,4x4,6.7,5.1,71400
BMW X6,Gri,2010,4.0,Diesel,Automata,SUV,2993.0,245.0,4x4,5.6,5.1,12999
Mercedes-Benz CLS,Gri,2018,5.0,Benzina,Automata,Sedan,2999.0,367.0,4x4,10.2,6.4,45490
Porsche Macan,Gri,2015,5.0,Diesel,Automata,SUV,2967.0,258.0,4x4,6.9,5.9,23900
Nissan Qashqai,Gri,2010,5.0,Diesel,Manuala,SUV,1995.0,150.0,4x4,7.5,5.2,8499
Mercedes-Benz CLA,Negru,2018,5.0,Diesel,Automata,Sedan,2143.0,136.0,Fata,5.7,4.0,15990
Opel Astra,Argint,2021,5.0,Diesel,Manuala,Sedan,1496.0,122.0,Fata,4.1,3.1,9998
Hyundai Tucson,Maro,2019,5.0,Benzina,Automata,SUV,1591.0,177.0,4x4,8.5,6.8,20900
Volvo XC 60,Negru,2015,5.0,Diesel,Automata,SUV,2400.0,181.0,4x4,8.5,5.3,13000
Dacia Duster,Argint,2012,5.0,Diesel,Manuala,SUV,1461.0,110.0,4x4,9.6,5.3,7999
Audi Q3,Gri,2019,5.0,Diesel,Automata,SUV,1968.0,190.0,4x4,6.4,5.0,25989
BMW X3,Gri,2018,5.0,Benzina,Automata,SUV,1998.0,184.0,4x4,8.5,6.3,23800
Alfa Romeo Giulietta,Gri,2016,5.0,Diesel,Automata,Compact,1956.0,175.0,Fata,5.1,3.8,8990
BMW X4,Negru,2019,5.0,Diesel,Automata,SUV,1995.0,190.0,4x4,5.3,4.9,35700
Volkswagen Touran,Negru,2007,7.0,Diesel,Manuala,Monovolum,1896.0,105.0,Fata,7.4,5.2,2950
Audi Q7,Negru,2019,5.0,Diesel,Automata,SUV,2967.0,231.0,4x4,7.1,6.2,40599
Skoda Octavia,Argint,2018,5.0,Diesel,Automata,Sedan,1598.0,116.0,Fata,4.1,3.7,10499
Mercedes-Benz CLA,Gri,2019,5.0,Diesel,Automata,Sedan,1461.0,116.0,Fata,4.9,3.8,33320
Volvo XC 90,Negru,2016,7.0,Diesel,Automata,SUV,1969.0,190.0,Fata,5.8,4.9,18900
Honda CR-V,Argint,2019,5.0,Hibrid,Automata,SUV,1993.0,145.0,4x4,5.5,5.5,28000
Renault Megane,Negru,2013,5.0,Diesel,Manuala,Sedan,1461.0,110.0,Fata,3.9,3.2,6450
Skoda Octavia,Alte culori,2018,5.0,Diesel,Automata,Sedan,1598.0,115.0,Fata,5.5,4.1,11750
Opel Grandland X,Alb,2019,5.0,Diesel,Automata,SUV,1997.0,177.0,Fata,5.3,4.6,19289
Audi S6,Albastru,2019,5.0,Diesel,Automata,Sedan,2967.0,349.0,4x4,7.4,5.6,39900
BMW X6,Alb,2015,5.0,Diesel,Automata,SUV,2993.0,258.0,4x4,6.8,5.6,28990
Ford Kuga,Gri,2022,5.0,Hibrid,Automata,SUV,2488.0,152.0,Fata,6.2,4.4,20950
Volkswagen Touareg,Alb,2019,5.0,Diesel,Automata,SUV,2967.0,286.0,4x4,7.7,5.9,37500
Land Rover Range Rover Sport,Maro,2015,5.0,Diesel,Automata,SUV,2993.0,258.0,4x4,7.8,6.4,29988
Dacia Lodgy,Albastru,2017,7.0,Diesel,Manuala,Monovolum,1461.0,109.0,Fata,4.4,3.8,8900
Mercedes-Benz S,Negru,2015,5.0,Diesel,Automata,Sedan,2987.0,258.0,4x4,7.4,5.1,26500
BMW X3 M,Negru,2023,5.0,Diesel,Automata,SUV,2993.0,340.0,4x4,6.9,4.9,62891
BMW X5,Maro,2021,5.0,Diesel,Automata,SUV,2993.0,286.0,4x4,6.7,5.1,63546
Audi A4,Alb,2021,5.0,Benzina,Automata,Sedan,1984.0,150.0,Fata,7.1,4.6,21182
Toyota RAV4,Alb,2016,5.0,Hibrid,Automata,SUV,2494.0,155.0,Fata,4.9,5.1,17990
Skoda RAPID,Gri,2013,5.0,Benzina,Automata,Sedan,1390.0,122.0,Fata,7.4,4.8,8690
Audi Q3,Gri,2019,5.0,Benzina,Automata,SUV,1984.0,190.0,4x4,9.2,6.0,26990
Mercedes-Benz GLA,Negru,2014,5.0,Diesel,Automata,SUV,2143.0,170.0,4x4,6.7,5.4,17900
Fiat Tipo,Alb,2020,5.0,Diesel,Manuala,Compact,1248.0,95.0,Fata,5.3,3.7,9044
Renault Megane,Argint,2019,5.0,Diesel,Automata,Sedan,1461.0,115.0,Fata,4.5,3.6,11490
Toyota C-HR,Negru,2021,5.0,Hibrid,Automata,SUV,1798.0,98.0,Fata,3.5,4.1,19489
Volvo XC 60,Gri,2019,5.0,Diesel,Automata,SUV,1969.0,190.0,Fata,5.6,4.7,31499
Toyota C-HR,Alb,2019,5.0,Hibrid,Automata,SUV,1798.0,98.0,Fata,6.1,4.6,19200
Audi A5,Negru,2017,5.0,Diesel,Manuala,Sedan,1968.0,190.0,Fata,5.2,3.8,19400
BMW X3,Alb,2021,5.0,Hibrid,Automata,SUV,1998.0,184.0,4x4,6.4,5.2,33999
Toyota C-HR,Albastru,2019,5.0,Hibrid,Automata,SUV,1798.0,98.0,Fata,3.5,4.1,15989
Ford Focus,Negru,2015,5.0,Diesel,Manuala,Sedan,1499.0,95.0,Fata,4.0,3.5,7999
Skoda Octavia,Gri,2020,5.0,Diesel,Manuala,Sedan,1968.0,115.0,Fata,4.2,3.1,15690
Skoda Octavia,Negru,2012,5.0,Diesel,Manuala,Sedan,1598.0,105.0,Fata,5.7,3.9,6300
Renault Kadjar,Alb,2017,5.0,Benzina,Manuala,SUV,1197.0,130.0,Fata,5.5,4.6,11200
Ford Focus,Alb,2020,5.0,Benzina,Manuala,Compact,999.0,125.0,Fata,5.3,3.8,12949
Skoda Octavia,Gri,2022,5.0,Hibrid,Automata,Sedan,1395.0,150.0,Fata,4.4,3.2,18988
Volkswagen Tiguan,Negru,2020,5.0,Benzina,Manuala,SUV,1498.0,150.0,Fata,6.9,4.9,18900
Hyundai i20,Alb,2016,5.0,Diesel,Manuala,Compact,1120.0,75.0,Fata,4.5,3.4,5899
Skoda Octavia,Rosu,2021,5.0,Diesel,Manuala,Sedan,1968.0,115.0,Fata,4.2,3.1,15490
Volkswagen Golf,Gri,2018,5.0,Benzina,Automata,Compact,1498.0,130.0,Fata,6.1,4.1,10999
Ford Transit Custom,Alte culori,2024,9.0,Diesel,Manuala,Monovolum,1995.0,150.0,Fata,7.0,5.6,39151
Toyota RAV4,Alb,2020,5.0,Hibrid,Automata,SUV,2487.0,178.0,Fata,4.8,4.5,27370
Ford Kuga,Alb,2022,5.0,Hibrid,Automata,SUV,2488.0,152.0,Fata,6.3,4.4,20899
Jeep Grand Cherokee,Negru,2009,5.0,Diesel,Automata,SUV,2987.0,217.0,4x4,9.3,6.5,7990
Peugeot 3008,Negru,2019,5.0,Diesel,Automata,SUV,1499.0,130.0,Fata,4.3,3.8,15890
Skoda Octavia,Argint,2020,5.0,Benzina,Automata,Sedan,1498.0,150.0,Fata,5.1,3.6,15470
Ford Transit Custom,Alb,2019,9.0,Diesel,Manuala,Monovolum,1995.0,105.0,Fata,7.0,5.6,21990
Audi A4 Allroad,Gri,2018,5.0,Diesel,Automata,Sedan,1968.0,190.0,4x4,5.5,4.6,26698
BMW X1,Gri,2016,5.0,Diesel,Automata,SUV,1995.0,231.0,4x4,5.8,4.6,17250
Renault Kadjar,Gri,2018,5.0,Benzina,Manuala,SUV,1197.0,130.0,Fata,4.8,3.6,12988
BMW X6,Negru,2021,5.0,Benzina,Automata,SUV,2998.0,333.0,4x4,9.6,6.6,63899
Hyundai i40,Albastru,2016,5.0,Diesel,Manuala,Sedan,1685.0,116.0,Fata,5.5,4.2,9900
Skoda Karoq,Albastru,2021,5.0,Diesel,Automata,SUV,1968.0,150.0,4x4,5.6,4.2,15990
BMW X2,Gri,2019,5.0,Diesel,Automata,SUV,1995.0,190.0,4x4,7.2,6.3,25000
Volvo XC 40,Negru,2020,5.0,Diesel,Automata,SUV,1969.0,190.0,4x4,5.7,4.6,28499
Mercedes-Benz E,Albastru,2019,5.0,Diesel,Automata,Sedan,1950.0,150.0,Spate,5.2,4.0,29988
Mercedes-Benz C,Gri,2019,4.0,Benzina,Automata,Sport,1497.0,184.0,Spate,8.3,4.8,29988
BMW X3,Alb,2014,4.0,Diesel,Automata,SUV,1995.0,184.0,4x4,6.1,5.3,14450
Mercedes-Benz GLB,Negru,2021,7.0,Diesel,Automata,SUV,1950.0,190.0,4x4,8.0,5.6,29990
Mercedes-Benz C,Gri,2015,5.0,Diesel,Automata,Sedan,2143.0,170.0,Spate,4.8,3.4,20000
Volkswagen Passat Alltrack,Alb,2020,5.0,Diesel,Automata,Sedan,1968.0,240.0,4x4,6.8,5.2,25989
Skoda Superb,Gri,2018,5.0,Diesel,Automata,Sedan,1968.0,190.0,4x4,5.7,4.3,18207
Skoda Scala,Alb,2021,5.0,Benzina,Automata,Compact,1498.0,150.0,Fata,6.4,4.2,18899
BMW X3,Alb,2013,5.0,Diesel,Automata,SUV,1995.0,184.0,4x4,6.1,5.3,13200
Audi A6,Gri,2019,5.0,Diesel,Automata,Sedan,1968.0,204.0,4x4,5.2,4.2,36878
Renault Koleos,Negru,2012,5.0,Diesel,Manuala,SUV,1995.0,150.0,Fata,4.6,6.1,7490
Renault Talisman,Alte culori,2016,5.0,Diesel,Automata,Sedan,1598.0,160.0,Fata,5.1,4.2,15300
Mercedes-Benz E,Gri,2010,5.0,Diesel,Automata,Sedan,2143.0,170.0,Fata,8.3,5.0,7100
Mercedes-Benz GLC,Albastru,2018,5.0,Benzina,Automata,SUV,1991.0,245.0,4x4,9.7,6.6,29990
Porsche Cayenne,Alb,2011,5.0,Diesel,Automata,SUV,2967.0,240.0,4x4,8.7,6.6,15900
BMW Seria 3,Negru,2011,5.0,Diesel,Manuala,Sedan,1995.0,163.0,Spate,6.0,4.1,6800
Skoda RAPID,Alb,2018,5.0,Benzina,Manuala,Sedan,999.0,110.0,Fata,5.4,3.9,8950
Mercedes-Benz ML,Gri,2006,5.0,Diesel,Automata,SUV,2987.0,224.0,4x4,11.9,7.6,6900
Mercedes-Benz C,Gri,2019,5.0,Diesel,Automata,Sedan,1950.0,194.0,4x4,6.2,4.4,27700
Audi A4,Gri,2020,5.0,Diesel,Automata,Sedan,1968.0,136.0,Fata,5.0,3.6,23899
Audi Q7,Gri,2018,5.0,Diesel,Automata,SUV,2967.0,218.0,4x4,6.1,5.1,29950
BMW X5,Alte culori,2019,5.0,Diesel,Automata,SUV,2993.0,265.0,4x4,6.8,5.6,43900
Dacia Duster,Gri,2017,5.0,Diesel,Manuala,SUV,1461.0,109.0,4x4,4.8,4.7,11690
Skoda Octavia,Albastru,2020,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,4.6,3.5,18690
Mercedes-Benz GLC,Albastru,2020,5.0,Hibrid,Automata,SUV,1991.0,211.0,4x4,8.9,5.9,38599
Audi A6,Negru,2016,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,5.7,4.6,17800
Ford Transit Custom,Alb,2020,3.0,Diesel,Manuala,Monovolum,1996.0,130.0,Fata,5.7,5.3,18999
Ford Kuga,Negru,2022,5.0,Hibrid,Automata,SUV,2488.0,152.0,Fata,6.2,4.4,19999
BMW Seria 5,Maro,2015,5.0,Diesel,Automata,Sedan,1995.0,190.0,4x4,4.4,3.6,20900
Volvo XC 90,Gri,2020,5.0,Diesel,Automata,SUV,1969.0,235.0,4x4,6.4,5.1,45499
BMW Seria 8,Albastru,2020,4.0,Benzina,Automata,Sedan,2998.0,340.0,4x4,9.7,6.6,49990
Land Rover Range Rover Evoque,Alb,2017,5.0,Diesel,Automata,SUV,1999.0,180.0,4x4,10.3,5.1,18850
Volkswagen Golf,Negru,2009,5.0,Benzina,Automata,Sedan,1595.0,102.0,Fata,11.3,6.4,6850
BMW Seria 5,Gri,2015,5.0,Diesel,Automata,Sedan,1995.0,190.0,Spate,6.2,5.2,17000
Mercedes-Benz E,Negru,2019,5.0,Diesel,Automata,Sedan,1950.0,194.0,Spate,5.7,4.1,27500
Mercedes-Benz GLE,Alb,2020,5.0,Diesel,Automata,SUV,2925.0,272.0,4x4,11.2,5.8,47990
Audi A4,Gri,2021,5.0,Diesel,Automata,Sedan,1968.0,136.0,Fata,5.0,3.5,24400
Nissan Qashqai,Negru,2015,5.0,Diesel,Manuala,SUV,1598.0,130.0,4x4,5.7,4.5,12499
Audi Q5,Alb,2014,5.0,Diesel,Automata,SUV,1968.0,177.0,4x4,6.8,5.6,15499
Nissan Qashqai,Negru,2014,5.0,Diesel,Manuala,SUV,1598.0,130.0,Fata,6.5,4.3,9199
Nissan Qashqai,Alb,2015,5.0,Benzina,Manuala,SUV,1197.0,115.0,Fata,6.6,5.1,11499
BMW X3,Alb,2016,5.0,Diesel,Automata,SUV,1995.0,190.0,4x4,5.2,4.5,19990
Hyundai ix35,Negru,2011,5.0,Diesel,Automata,SUV,1995.0,184.0,4x4,8.8,5.7,10599
BMW Seria 2,Albastru,2022,5.0,Benzina,Automata,Sedan,1499.0,136.0,Fata,6.1,4.3,26899
Ford Kuga,Albastru,2020,5.0,Diesel,Automata,SUV,1996.0,190.0,4x4,5.6,4.3,24990
Renault Megane,Gri,2019,5.0,Diesel,Manuala,Sedan,1461.0,116.0,Fata,4.6,3.5,9998
Mercedes-Benz S,Negru,2019,5.0,Diesel,Automata,Sedan,2925.0,340.0,4x4,7.5,5.4,65450
Volkswagen Tiguan,Negru,2012,5.0,Benzina,Manuala,SUV,1390.0,122.0,Fata,4.6,5.5,10990
Skoda Octavia,Argint,2020,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,5.1,4.0,12490
Volkswagen T-ROC,Gri,2020,5.0,Diesel,Manuala,SUV,1598.0,115.0,Fata,4.8,3.9,15990
Volkswagen Passat,Gri,2015,5.0,Benzina,Manuala,Sedan,1395.0,150.0,Fata,4.6,4.3,13690
Mercedes-Benz GLC,Argint,2017,5.0,Diesel,Automata,SUV,2143.0,170.0,4x4,6.8,5.4,23800
Ford Fiesta,Alb,2018,5.0,Diesel,Manuala,Compact,1498.0,85.0,Fata,3.8,3.1,7300
BMW Seria 5,Negru,2021,5.0,Diesel,Automata,Sedan,1995.0,190.0,Spate,5.2,4.4,32725
BMW X1,Negru,2016,5.0,Diesel,Manuala,SUV,1995.0,150.0,Fata,4.9,3.3,9490
Volkswagen Touareg,Alb,2016,5.0,Diesel,Automata,SUV,2967.0,262.0,4x4,7.9,6.2,20979
Skoda RAPID,Alb,2019,5.0,Benzina,Manuala,Sedan,999.0,95.0,Fata,5.2,3.9,9450
Audi A8,Alb,2022,5.0,Benzina,Automata,Sedan,2995.0,340.0,4x4,11.2,6.4,69008
BMW Seria 2,Negru,2019,5.0,Diesel,Manuala,Monovolum,1496.0,116.0,Fata,4.6,3.9,14589
Volkswagen Tiguan,Albastru,2024,5.0,Diesel,Automata,SUV,1968.0,193.0,4x4,6.3,4.7,49513
BMW Seria 3,Gri,2009,5.0,Diesel,Manuala,Sedan,1995.0,143.0,Spate,5.6,4.1,7999
Volkswagen Touareg,Maro,2012,5.0,Diesel,Automata,SUV,2967.0,240.0,4x4,8.8,6.5,12900
Ford Kuga,Argint,2017,5.0,Diesel,Automata,SUV,1997.0,150.0,4x4,5.5,4.9,13750
Renault Megane,Alb,2021,5.0,Benzina,Manuala,Sedan,999.0,114.0,Fata,7.8,4.5,11900
Skoda Karoq,Alb,2021,5.0,Diesel,Automata,SUV,1968.0,150.0,4x4,5.6,4.2,23597
BMW X3,Maro,2011,5.0,Diesel,Automata,SUV,1995.0,184.0,4x4,6.1,5.3,12000
Volkswagen Tiguan,Gri,2020,5.0,Diesel,Automata,SUV,1968.0,150.0,4x4,5.6,4.3,31689
Peugeot 308,Gri,2020,5.0,Diesel,Automata,Sedan,1499.0,130.0,Fata,4.3,3.7,12890
Volkswagen Passat Alltrack,Gri,2014,5.0,Diesel,Automata,Sedan,1968.0,177.0,Fata,6.4,4.6,11500
Skoda Kodiaq,Alb,2020,5.0,Diesel,Automata,SUV,1968.0,150.0,4x4,5.9,4.4,25794
Mercedes-Benz ML,Negru,2015,5.0,Diesel,Automata,SUV,2987.0,258.0,4x4,7.8,6.3,18000
Skoda Kodiaq,Gri,2020,5.0,Diesel,Automata,SUV,1968.0,190.0,4x4,6.4,5.1,29287
Volvo V40,Negru,2015,5.0,Diesel,Manuala,Compact,1969.0,120.0,Fata,5.7,4.0,6990
Skoda Kodiaq,Gri,2019,5.0,Diesel,Automata,SUV,1968.0,190.0,4x4,6.4,5.1,30989
Peugeot 508,Albastru,2021,5.0,Diesel,Automata,Sedan,1499.0,130.0,Fata,4.4,3.5,20489
Volkswagen Tiguan,Alb,2020,5.0,Diesel,Automata,SUV,1968.0,150.0,4x4,6.8,5.3,25489
Dacia Lodgy,Gri,2017,5.0,Benzina,Manuala,Monovolum,1197.0,115.0,Fata,6.6,4.8,7590
Renault Captur,Rosu,2015,5.0,Benzina,Automata,Compact,1197.0,120.0,Fata,6.7,5.2,9900
Dacia Lodgy,Gri,2017,5.0,Benzina,Manuala,Monovolum,1197.0,115.0,Fata,6.6,4.8,7590
Mercedes-Benz C,Alb,2018,4.0,Benzina,Automata,Sport,1991.0,211.0,Spate,7.8,5.2,34900
Mercedes-Benz A,Argint,2013,5.0,Diesel,Automata,Compact,1796.0,109.0,Fata,4.8,3.8,9490
BMW X3,Negru,2018,5.0,Diesel,Automata,SUV,2993.0,265.0,4x4,6.3,5.3,25990
Opel Astra,Alb,2017,5.0,Diesel,Manuala,Sedan,1598.0,110.0,Fata,3.9,3.5,7999
Opel Astra,Gri,2013,5.0,Diesel,Manuala,Sedan,1956.0,164.0,Fata,6.5,4.4,5500
Dacia Dokker,Alb,2014,2.0,Diesel,Manuala,Monovolum,1461.0,90.0,Fata,4.4,4.1,4986
Renault Megane,Negru,2012,5.0,Diesel,Manuala,Sedan,1598.0,130.0,Fata,4.5,3.7,4990
Mercedes-Benz C,Albastru,2019,5.0,Diesel,Automata,Sedan,1950.0,194.0,Spate,5.1,3.8,29738
Ford Mondeo,Negru,2019,5.0,Diesel,Automata,Sedan,1997.0,150.0,Fata,6.0,4.6,14349
Audi A5,Gri,2020,5.0,Diesel,Automata,Sedan,1968.0,190.0,4x4,5.6,4.4,34986
Peugeot 208,Gri,2019,5.0,Benzina,Manuala,Compact,1199.0,83.0,Fata,5.8,4.2,5990
Ford Focus,Argint,2019,5.0,Benzina,Manuala,Compact,999.0,125.0,Fata,5.3,4.0,9400
Mercedes-Benz GLC,Alb,2015,5.0,Diesel,Automata,SUV,2143.0,170.0,4x4,6.8,5.4,24990
BMW Seria 5,Gri,2020,5.0,Diesel,Automata,Sedan,1995.0,190.0,Spate,5.2,4.4,30940
Volkswagen Tiguan,Maro,2011,5.0,Diesel,Automata,SUV,1968.0,140.0,4x4,7.8,5.5,12499
Audi Q5,Gri,2020,5.0,Hibrid,Automata,SUV,1984.0,252.0,4x4,5.4,4.8,29998
Volkswagen Tiguan,Albastru,2023,5.0,Benzina,Automata,SUV,1498.0,150.0,Fata,5.3,4.4,28249
Renault Captur,Gri,2021,5.0,Benzina,Automata,SUV,1332.0,140.0,Fata,6.5,4.6,16749
Dacia Duster,Argint,2013,5.0,Benzina,Manuala,SUV,1598.0,105.0,4x4,10.4,7.0,7901
Mitsubishi Outlander,Albastru,2014,6.0,Diesel,Manuala,SUV,2268.0,150.0,4x4,6.5,4.7,7800
Nissan Qashqai,Gri,2012,5.0,Diesel,Manuala,SUV,1598.0,130.0,Fata,5.1,4.1,7600
Volkswagen Passat,Gri,2013,5.0,Diesel,Manuala,Sedan,1598.0,105.0,Fata,5.3,4.0,6699
Renault Megane,Negru,2012,5.0,Benzina,Manuala,Compact,1198.0,115.0,Fata,6.4,4.6,4999
Ford Focus,Negru,2013,5.0,Diesel,Manuala,Sedan,1560.0,115.0,Fata,5.1,3.7,4800
Dacia Duster,Maro,2019,5.0,Benzina,Manuala,SUV,1332.0,130.0,Fata,6.9,4.9,10500
Nissan Juke,Maro,2011,5.0,Benzina,Manuala,SUV,1598.0,117.0,Fata,7.2,5.1,5800
Opel Astra,Argint,2009,5.0,Diesel,Manuala,Sedan,1686.0,125.0,Fata,7.0,4.8,2390
